N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]"	[]
N21106	sports	football_nfl	Patriots: CB Stephon Gilmore's dominance has had much to do with New England being 8-1	The Patriots headed into their bye week after their first loss of 2019. At 8-1, however, there's been much more good than bad this season, so far. When the team returns for Week 11, they'll still be in the driver's seat for the AFC's No. 1 seed. The schedule won't be easy -- Philadelphia, Dallas, Houston and Kansas City -- but we'll see if the Patriots can regain their form from the first ...	https://assets.msn.com/labs/mind/BBWyzxW.html	"[{""Label"": ""New England Patriots"", ""Type"": ""O"", ""WikidataId"": ""Q193390"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0, 65], ""SurfaceForms"": [""Patriots"", ""New England""]}, {""Label"": ""Stephon Gilmore"", ""Type"": ""P"", ""WikidataId"": ""Q3973224"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Stephon Gilmore""]}, {""Label"": ""Defender (association football)"", ""Type"": ""C"", ""WikidataId"": ""Q336286"", ""Confidence"": 0.935, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""CB""]}]"	"[{""Label"": ""New England Patriots"", ""Type"": ""O"", ""WikidataId"": ""Q193390"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0, 346], ""SurfaceForms"": [""The Patriots"", ""Patriots""]}, {""Label"": ""Dallas"", ""Type"": ""G"", ""WikidataId"": ""Q16557"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [290], ""SurfaceForms"": [""Dallas""]}, {""Label"": ""Houston"", ""Type"": ""G"", ""WikidataId"": ""Q16555"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [298], ""SurfaceForms"": [""Houston""]}, {""Label"": ""Philadelphia"", ""Type"": ""G"", ""WikidataId"": ""Q1345"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [276], ""SurfaceForms"": [""Philadelphia""]}]"
N8371	sports	football_nfl	Rams' fake punt goes horribly wrong, Steelers get pick	Nothing seems to be working for the Rams against the Steelers, and this fake punt attempt was no exception.	https://assets.msn.com/labs/mind/BBWyzxz.html	"[{""Label"": ""Los Angeles Rams"", ""Type"": ""O"", ""WikidataId"": ""Q337377"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rams""]}, {""Label"": ""Pittsburgh Steelers"", ""Type"": ""O"", ""WikidataId"": ""Q191477"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""Steelers""]}]"	"[{""Label"": ""Los Angeles Rams"", ""Type"": ""O"", ""WikidataId"": ""Q337377"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Rams""]}, {""Label"": ""Pittsburgh Steelers"", ""Type"": ""O"", ""WikidataId"": ""Q191477"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""Steelers""]}]"
N56061	sports	football_nfl	9 things we learned from Sunday's games of Week 10 of NFL season		https://assets.msn.com/labs/mind/BBWz0k4.html	"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [54], ""SurfaceForms"": [""NFL""]}]"	[]
N14622	news	newscrime	Family asks for help in solving May cold case	"Friends and family of a murder victim is asking the community for answers. Corey Johnson, 27, was gunned down on 18th and West Main Streets on May 21. His sister, Monique Johnson, says she has not heard anything from police as far as leads or suspects. Johnson is asking that if someone knows information regarding her brother's murder to come forward. ""I'm just pleading for the public, anyone who knows anything please speak,"" she said. Johnson's..."	https://assets.msn.com/labs/mind/BBWz0kE.html	[]	[]
N13341	news	newsus	Rising temperatures put U.S. troops at risk during training, report finds	By midcentury, troops could face an extra month of heat-index temperatures above 100 F every year, the Union of Concerned Scientists found.	https://assets.msn.com/labs/mind/BBWz0kj.html	"[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""U.S.""]}]"	"[{""Label"": ""Union of Concerned Scientists"", ""Type"": ""O"", ""WikidataId"": ""Q1136715"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [103], ""SurfaceForms"": [""Union of Concerned Scientists""]}]"
N50451	news	newsus	Police: Man killed in crash, fire in Pleasant Ridge	A man is dead after a car crash turned into a fire in Pleasant Ridge late Sunday night. The crash happened around 10:30 p.m. on Ridge and Montgomery Road. Sign up for our Newsletters Police said emergency crews at the scene found the driver trapped in the car. Officials said the driver crashed into a utility pole causing the car to burst into flames. The driver later died from his injuries. Investigators said they believe the driver was speeding...	https://assets.msn.com/labs/mind/BBWz0m6.html	[]	"[{""Label"": ""Maryland Route 103"", ""Type"": ""S"", ""WikidataId"": ""Q2448258"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [138], ""SurfaceForms"": [""Montgomery Road""]}]"
N40065	sports	more_sports	The Day in Sports: Sunday, November 10, 2019	The Day in Sports: Sunday, November 10, 2019	https://assets.msn.com/labs/mind/BBWz0mR.html	[]	[]
N17301	sports	football_nfl	Kirk Cousins responds to narrative about not being able to beat winning teams	Cousins helped deliver a huge win for the Vikings over the Cowboys Sunday night.	https://assets.msn.com/labs/mind/BBWz0tZ.html	"[{""Label"": ""Kirk Cousins"", ""Type"": ""P"", ""WikidataId"": ""Q431248"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kirk Cousins""]}]"	"[{""Label"": ""Kirk Cousins"", ""Type"": ""P"", ""WikidataId"": ""Q431248"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Cousins""]}, {""Label"": ""Minnesota Vikings"", ""Type"": ""O"", ""WikidataId"": ""Q221150"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""Vikings""]}, {""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [59], ""SurfaceForms"": [""Cowboys""]}]"
N241	finance	finance-companies	Are Stores Open on Veterans Day? Target, Aldi, Walmart and More	Will shoppers be able to make the most of Veterans Day deals this public holiday?	https://assets.msn.com/labs/mind/BBWz0up.html	"[{""Label"": ""Veterans Day"", ""Type"": ""H"", ""WikidataId"": ""Q755999"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Veterans Day""]}, {""Label"": ""Aldi"", ""Type"": ""O"", ""WikidataId"": ""Q125054"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""Aldi""]}, {""Label"": ""Target Corporation"", ""Type"": ""O"", ""WikidataId"": ""Q1046951"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Target""]}, {""Label"": ""Walmart"", ""Type"": ""O"", ""WikidataId"": ""Q483551"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""Walmart""]}]"	"[{""Label"": ""Veterans Day"", ""Type"": ""H"", ""WikidataId"": ""Q755999"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""Veterans Day""]}]"
N56193	sports	football_nfl	Cowboys have questionable red zone calls in loss to Vikings		https://assets.msn.com/labs/mind/BBWz2Xp.html	"[{""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Cowboys""]}, {""Label"": ""Minnesota Vikings"", ""Type"": ""O"", ""WikidataId"": ""Q221150"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""Vikings""]}]"	[]
N33435	lifestyle	lifestylefamily	Four siblings, all veterans, celebrate Veterans Day in DC	Those who pay a visit to the solemn World War II Memorial will come across inscriptions, excerpts of speeches from leaders honoring those who laid down their lives for this country.	https://assets.msn.com/labs/mind/BBWz2YQ.html	"[{""Label"": ""Veterans Day"", ""Type"": ""H"", ""WikidataId"": ""Q755999"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Veterans Day""]}]"	[]
N10529	sports	football_nfl	Week 10 Game Balls: Few Bright Spots in Colts Dismal Showing against Dolphins		https://assets.msn.com/labs/mind/BBWz39w.html	"[{""Label"": ""Bright spots on Ceres"", ""Type"": ""U"", ""WikidataId"": ""Q19921575"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Bright Spots""]}, {""Label"": ""Miami Dolphins"", ""Type"": ""O"", ""WikidataId"": ""Q223243"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [69], ""SurfaceForms"": [""Dolphins""]}]"	[]
N20332	news	newsworld	Langfords, 100 members of Mormon families leave Mexico after ambush	David Langford and his hero son, Devin, who helped save his siblings, are leaving Northwest Mexico, where Mormons lived for decades before drug cartels encroached.	https://assets.msn.com/labs/mind/BBWz3bR.html	"[{""Label"": ""Mormons"", ""Type"": ""O"", ""WikidataId"": ""Q3177118"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Mormon""]}]"	"[{""Label"": ""Mormons"", ""Type"": ""O"", ""WikidataId"": ""Q3177118"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [106], ""SurfaceForms"": [""Mormons""]}]"
N24301	sports	football_nfl	10 biggest disappointments of NFL Week 10	From quarterback play to special teams disasters, there was plenty of disappointment to go around in Week 10 of the NFL.	https://assets.msn.com/labs/mind/BBWz3eX.html	"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""NFL""]}]"	"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [116], ""SurfaceForms"": [""NFL""]}]"
N5171	news	elections-2020-us	Still a chance? 2020 longshots insist race is up for grabs	Bernie Sanders rallied hundreds of supporters outside the New Hampshire capital when the senator formally filed to compete in the state's first-in-the-nation presidential primary.	https://assets.msn.com/labs/mind/BBWz3jH.html	[]	"[{""Label"": ""New Hampshire"", ""Type"": ""G"", ""WikidataId"": ""Q759"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [58], ""SurfaceForms"": [""New Hampshire""]}, {""Label"": ""Bernie Sanders"", ""Type"": ""P"", ""WikidataId"": ""Q359442"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Bernie Sanders""]}]"
N31581	news	newsus	Man killed in single-car crash after having medical emergency behind the wheel	A 52-year-old man was killed after he had a medical emergency behind the wheel. The Missouri State Highway Patrol said Jeffery T. Gregory was driving on Missouri Highway 79 near the intersection of East Terra Lane Sunday afternoon at around 12:45 when he had a medical emergency. The crash report said the car drove off the left side of the road, ended up on East Terra Lane and flipped before slamming into a concrete median. He was pronounced dead...	https://assets.msn.com/labs/mind/BBWz5Cb.html	[]	"[{""Label"": ""Missouri State Highway Patrol"", ""Type"": ""O"", ""WikidataId"": ""Q6879721"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [84], ""SurfaceForms"": [""Missouri State Highway Patrol""]}, {""Label"": ""Missouri Route 79"", ""Type"": ""S"", ""WikidataId"": ""Q2485266"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [153], ""SurfaceForms"": [""Missouri Highway 79""]}]"
N413	news	newsscienceandtechnology	Google Maps lets you manage your public profile from the Android app	"Google Maps increasingly thrives on user contributions to fill in details, but you haven't had the option to manage your public profile from the phone app you're probably using to make those contributions. That's a bit backwards, but Google is thankfully setting things right. An updated version of the Android app lets you manage your profile from a new ""your profile"" item in the side menu."	https://assets.msn.com/labs/mind/BBWz5Gy.html	"[{""Label"": ""Google Maps"", ""Type"": ""M"", ""WikidataId"": ""Q12013"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Google Maps""]}, {""Label"": ""Android (operating system)"", ""Type"": ""J"", ""WikidataId"": ""Q94"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [57], ""SurfaceForms"": [""Android""]}]"	"[{""Label"": ""Google Maps"", ""Type"": ""M"", ""WikidataId"": ""Q12013"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Google Maps""]}, {""Label"": ""Android (operating system)"", ""Type"": ""J"", ""WikidataId"": ""Q94"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [303], ""SurfaceForms"": [""Android""]}, {""Label"": ""Google"", ""Type"": ""O"", ""WikidataId"": ""Q95"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [234], ""SurfaceForms"": [""Google""]}]"
N43567	news	newspolitics	High-stakes televised impeachment hearings set for next week	William Taylor, the top diplomat in Ukraine, will testify, and Republicans hope to hear from Hunter Biden and the anonymous whistleblower.	https://assets.msn.com/labs/mind/BBWz5Hi.html	"[{""Label"": ""High-stakes testing"", ""Type"": ""E"", ""WikidataId"": ""Q3496346"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""High-stakes""]}]"	"[{""Label"": ""Ukraine"", ""Type"": ""G"", ""WikidataId"": ""Q212"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Ukraine""]}, {""Label"": ""Republican Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29468"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [63], ""SurfaceForms"": [""Republicans""]}]"
N39983	news	newscrime	NYPD Defends Officers In Arrest Of Illegal Food Vendor	Despite criticism from some city officials, the NYPD says its officers acted properly in arresting a woman who was illegally selling churros inside a Brooklyn subway station. CBS2's Lisa Rozner reports	https://assets.msn.com/labs/mind/BBWz5xQ.html	"[{""Label"": ""New York City Police Department"", ""Type"": ""O"", ""WikidataId"": ""Q328473"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""NYPD""]}]"	"[{""Label"": ""New York City Police Department"", ""Type"": ""O"", ""WikidataId"": ""Q328473"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""NYPD""]}, {""Label"": ""Brooklyn"", ""Type"": ""G"", ""WikidataId"": ""Q18419"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [150], ""SurfaceForms"": [""Brooklyn""]}]"
N9739	sports	football_nfl_videos	Vikings edge Cowboys on 'SNF'	Watch the Minnesota Vikings vs. Dallas Cowboys highlights from Week 10 of the 2019 season.	https://assets.msn.com/labs/mind/BBWz5xc.html	"[{""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Cowboys""]}, {""Label"": ""NBC Sunday Night Football"", ""Type"": ""W"", ""WikidataId"": ""Q6952794"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""SNF""]}, {""Label"": ""Vikings"", ""Type"": ""U"", ""WikidataId"": ""Q12567"", ""Confidence"": 0.907, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Vikings""]}]"	"[{""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Dallas Cowboys""]}, {""Label"": ""Minnesota Vikings"", ""Type"": ""O"", ""WikidataId"": ""Q221150"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Minnesota Vikings""]}]"
N218	video	news	Bolivia protesters celebrate Morales' resignation	Bolivian opposition protesters celebrated joyously in the streets of La Paz on Sunday evening after Bolivian President Evo Morales said he would resign following weeks of protests over a disputed election that has roiled the South American nation.	https://assets.msn.com/labs/mind/BBWzAJc.html	"[{""Label"": ""Evo Morales"", ""Type"": ""P"", ""WikidataId"": ""Q42410"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Morales""]}, {""Label"": ""Bolivia"", ""Type"": ""G"", ""WikidataId"": ""Q750"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Bolivia""]}]"	"[{""Label"": ""Evo Morales"", ""Type"": ""P"", ""WikidataId"": ""Q42410"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [119], ""SurfaceForms"": [""Evo Morales""]}, {""Label"": ""President of Bolivia"", ""Type"": ""K"", ""WikidataId"": ""Q373548"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [100], ""SurfaceForms"": [""Bolivian President""]}, {""Label"": ""La Paz"", ""Type"": ""G"", ""WikidataId"": ""Q1491"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [69], ""SurfaceForms"": [""La Paz""]}]"
N61572	sports	football_nfl	Believe in 'Minkah Magic' as Fitzpatrick sparks Steelers' turnaround	Discarded by the Dolphins after a little more than a season, Minkah Fitzpatrick is making a considerable difference for a surging Steelers team.	https://assets.msn.com/labs/mind/BBWzAJj.html	"[{""Label"": ""Pittsburgh Steelers"", ""Type"": ""O"", ""WikidataId"": ""Q191477"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Steelers""]}, {""Label"": ""Minkah Fitzpatrick"", ""Type"": ""P"", ""WikidataId"": ""Q26132256"", ""Confidence"": 0.976, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Fitzpatrick""]}]"	"[{""Label"": ""Pittsburgh Steelers"", ""Type"": ""O"", ""WikidataId"": ""Q191477"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [130], ""SurfaceForms"": [""Steelers""]}, {""Label"": ""Minkah Fitzpatrick"", ""Type"": ""P"", ""WikidataId"": ""Q26132256"", ""Confidence"": 0.976, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Minkah Fitzpatrick""]}, {""Label"": ""Miami Dolphins"", ""Type"": ""O"", ""WikidataId"": ""Q223243"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Dolphins""]}]"
N18340	sports	basketball_nba	Raptors end Lakers' 7-game winning streak in 113-104 victory	LOS ANGELES (AP)   The centerpiece of the Toronto Raptors' championship team works at Staples Center now. Two more key components of last season's sublime roster got injured right before the Raptors arrived in Los Angeles for the reunion. In the opening weeks of life after Kawhi, the defending champs are learning they might be deeper than even they realized. They definitely had enough to hold off Staples' marquee tenants in a remarkable...	https://assets.msn.com/labs/mind/BBWzALP.html	"[{""Label"": ""Toronto Raptors"", ""Type"": ""O"", ""WikidataId"": ""Q132880"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Raptors""]}, {""Label"": ""Los Angeles Lakers"", ""Type"": ""O"", ""WikidataId"": ""Q121783"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Lakers""]}]"	"[{""Label"": ""Toronto Raptors"", ""Type"": ""O"", ""WikidataId"": ""Q132880"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42, 191], ""SurfaceForms"": [""Toronto Raptors"", ""Raptors""]}, {""Label"": ""Staples Center"", ""Type"": ""S"", ""WikidataId"": ""Q186080"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [86, 400], ""SurfaceForms"": [""Staples Center"", ""Staples""]}, {""Label"": ""Los Angeles Lakers"", ""Type"": ""O"", ""WikidataId"": ""Q121783"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 210], ""SurfaceForms"": [""LOS ANGELES"", ""Los Angeles""]}, {""Label"": ""Kawhi Leonard"", ""Type"": ""P"", ""WikidataId"": ""Q926248"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [274], ""SurfaceForms"": [""Kawhi""]}]"
N6940	finance	finance-career-education	Kaiser Permanente CEO And Affordable Health Care Advocate Bernard J. Tyson Dies	Health care provider Kaiser Permanente said Sunday its chairman and CEO, Bernard J. Tyson, has died unexpectedly at the age of 60.	https://assets.msn.com/labs/mind/BBWzANI.html	"[{""Label"": ""Kaiser Permanente"", ""Type"": ""O"", ""WikidataId"": ""Q1721601"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kaiser Permanente""]}]"	"[{""Label"": ""Bernard Tyson"", ""Type"": ""P"", ""WikidataId"": ""Q19873335"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [73], ""SurfaceForms"": [""Bernard J. Tyson""]}, {""Label"": ""Kaiser Permanente"", ""Type"": ""O"", ""WikidataId"": ""Q1721601"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Kaiser Permanente""]}]"
N55199	news	newsus	Winter homeless shelter remains unopened after protests		https://assets.msn.com/labs/mind/BBWzAPK.html	[]	[]
N25142	entertainment	awards	Robert Downey Jr. reassures fans he didn't die at 2019 E! PCAs	"Tony Stark has risen from the dead! The ""Iron Man"" star takes the stage to kick off the E! People's Choice Awards with a bang! Watch."	https://assets.msn.com/labs/mind/BBWzARl.html	"[{""Label"": ""Robert Downey Jr."", ""Type"": ""P"", ""WikidataId"": ""Q165219"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Robert Downey Jr.""]}, {""Label"": ""Castilian Party"", ""Type"": ""O"", ""WikidataId"": ""Q6063925"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [58], ""SurfaceForms"": [""PCAs""]}]"	"[{""Label"": ""Tony Stark (Marvel Cinematic Universe)"", ""Type"": ""R"", ""WikidataId"": ""Q23894967"", ""Confidence"": 0.982, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Tony Stark""]}]"
N40147	sports	football_nfl	Well, they'll take it: Shining light on the highs and lows from the Bears' win over the Lions on the Bear Download podcast	Welcome to the Bear Download podcast. Listen below or subscribe and listen on iTunes | Spotify | Stitcher | Google Play Bears win! Well, yes, they did end their four-game losing streak with a 20-13 victory over the shorthanded Lions. But Rich and Dan break it all down and let some air out of the balloon -- not that much was in there to start. On the bright side, quarterback Mitch Trubisky ...	https://assets.msn.com/labs/mind/BBWzAV9.html	[]	"[{""Label"": ""Mitchell Trubisky"", ""Type"": ""P"", ""WikidataId"": ""Q26405845"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [377], ""SurfaceForms"": [""Mitch Trubisky""]}, {""Label"": ""Stitcher Radio"", ""Type"": ""O"", ""WikidataId"": ""Q7617643"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [97], ""SurfaceForms"": [""Stitcher""]}, {""Label"": ""ITunes"", ""Type"": ""W"", ""WikidataId"": ""Q9589"", ""Confidence"": 0.987, ""OccurrenceOffsets"": [78], ""SurfaceForms"": [""iTunes""]}, {""Label"": ""Spotify"", ""Type"": ""J"", ""WikidataId"": ""Q689141"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [87], ""SurfaceForms"": [""Spotify""]}]"
N41222	news	newsworld	Evo Morales of Bolivia Accepts Asylum in Mexico	Evo Morales, the former president of Bolivia who resigned under pressure from street protests and the military, was granted asylum in Mexico on Monday, departing from the country at a time when it is deeply polarized and leaderless.	https://assets.msn.com/labs/mind/BBWzAVm.html	"[{""Label"": ""Evo Morales"", ""Type"": ""P"", ""WikidataId"": ""Q42410"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Evo Morales""]}, {""Label"": ""Bolivia"", ""Type"": ""G"", ""WikidataId"": ""Q750"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [15], ""SurfaceForms"": [""Bolivia""]}, {""Label"": ""Mexico"", ""Type"": ""G"", ""WikidataId"": ""Q96"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""Mexico""]}]"	"[{""Label"": ""Evo Morales"", ""Type"": ""P"", ""WikidataId"": ""Q42410"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Evo Morales""]}, {""Label"": ""Bolivia"", ""Type"": ""G"", ""WikidataId"": ""Q750"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""Bolivia""]}, {""Label"": ""Mexico"", ""Type"": ""G"", ""WikidataId"": ""Q96"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [134], ""SurfaceForms"": [""Mexico""]}]"
N208	sports	football_nfl	Five winners and five losers as the Dallas Cowboys drop a heartbreaker to the Minnesota Vikings	A tough loss to swallow for the Cowboys.	https://assets.msn.com/labs/mind/BBWzB4R.html	"[{""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Dallas Cowboys""]}, {""Label"": ""Minnesota Vikings"", ""Type"": ""O"", ""WikidataId"": ""Q221150"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [78], ""SurfaceForms"": [""Minnesota Vikings""]}]"	"[{""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Cowboys""]}]"
N27974	weather	weathertopstories	Colder Temperatures And A Wintery Mix Expected Monday	First on Fox, we begin tonight on the winter watch today`s fall feel giving way to winter in a hurry, and that means getting prepared for the quick change in seasons, and that means some snow. Fox 2/News 11`s Blair Ledet begins our coverage.	https://assets.msn.com/labs/mind/BBWzBPy.html	[]	[]
N3411	sports	basketball_ncaa	Aldermen, Parents And Players Hope SLPS Will Reconsider Roosevelt Coach Termination	New tonight, the Roosevelt High School football coach was fired for contacting players through social media. But theres a push to have him re-instated. Fox 2/News 11s Jeff Bernthal was live with why several St. Louis aldermen want the district to re-consider the coachs termination.	https://assets.msn.com/labs/mind/BBWzBPz.html	[]	"[{""Label"": ""KTVI"", ""Type"": ""M"", ""WikidataId"": ""Q14704402"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [152], ""SurfaceForms"": [""Fox 2""]}, {""Label"": ""Roosevelt High School (St. Louis)"", ""Type"": ""F"", ""WikidataId"": ""Q7366453"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Roosevelt High School""]}, {""Label"": ""St. Louis"", ""Type"": ""G"", ""WikidataId"": ""Q38022"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [207], ""SurfaceForms"": [""St. Louis""]}]"
